,Neighborhood,Neighborhood Name,Zip Code,N,V,X,crimes,Population,White,Black,Hispanic/Latino2,AIAN1,Asian,Mixed Race,Corridor
59,21,Soulard,63104,163.77777777777777,378.44444444444446,124.88888888888889,542.2222222222222,3440,82.6,13.3,2.7,0.2,1.0,2.3,South
60,17,Mount Pleasant,63111,144.44444444444446,422.22222222222223,114.66666666666667,566.6666666666667,4408,43.2,47.1,6.9,0.5,2.4,3.3,South
61,30,Benton Park West,63118,145.33333333333334,434.22222222222223,122.44444444444444,579.5555555555555,4404,28.0,59.6,10.5,0.0,1.9,5.1,South
62,68,O'Fallon,63115,160.88888888888889,461.55555555555554,118.66666666666667,622.4444444444445,5791,1.1,96.8,0.9,0.3,0.0,1.6,North
63,37,Midtown,63103,143.33333333333334,506.22222222222223,156.88888888888889,649.5555555555555,5652,61.9,25.8,2.8,0.2,9.2,2.0,Central
64,56,Greater Ville,63115,184.22222222222223,556.6666666666666,145.11111111111111,740.8888888888889,6189,0.7,97.4,0.7,0.2,0.0,1.4,North
65,69,Penrose,63115,187.77777777777777,562.6666666666666,174.0,750.4444444444443,6387,0.8,97.2,0.5,0.2,0.0,1.4,North
66,48,West End,63112,155.77777777777777,607.1111111111111,181.55555555555554,762.8888888888889,6574,8.1,84.9,3.8,0.2,1.5,2.5,North
67,25,Tower Grove East,63118,169.11111111111111,660.4444444444445,210.66666666666666,829.5555555555555,5853,45.9,43.9,4.9,0.3,5.3,2.7,South
68,59,JeffVanderLou,63106,254.66666666666666,696.0,227.11111111111111,950.6666666666666,5557,1.3,97.2,0.6,0.1,0.0,1.2,North
69,74,Baden,63147,211.33333333333334,761.3333333333334,241.11111111111111,972.6666666666667,7268,6.3,91.8,0.5,0.1,0.0,1.3,North
70,5,Bevo Mill,63116,219.77777777777777,764.0,237.11111111111111,983.7777777777778,12654,74.2,13.8,7.5,0.4,4.6,3.9,South
71,50,Wells/Goodfellow,63120,261.77777777777777,800.8888888888889,289.77777777777777,1062.6666666666667,5859,0.7,97.5,0.6,0.2,0.2,1.4,North
72,19,Gravois Park,63118,271.3333333333333,808.6666666666666,167.33333333333334,1080.0,5225,22.4,68.4,8.1,0.4,1.7,3.9,South
73,1,Carondelet,63111,262.44444444444446,879.7777777777778,262.8888888888889,1142.2222222222222,8661,57.3,33.8,7.1,0.6,1.3,3.7,South
74,15,Tower Grove South,63116,251.11111111111111,989.3333333333334,306.6666666666667,1240.4444444444446,13333,54.9,29.7,7.3,0.3,8.6,3.7,South
75,38,Central West End,63108,282.0,1328.888888888889,357.1111111111111,1610.888888888889,14473,58.0,28.0,2.7,0.2,11.1,2.2,Central
76,36,Downtown West,63103,626.4444444444445,1122.6666666666667,419.1111111111111,1749.1111111111113,3940,56.3,36.9,2.6,0.3,3.7,2.9,Central
77,16,Dutchtown,63116,565.5555555555555,1648.4444444444443,440.0,2214.0,15770,35.6,50.8,9.0,0.3,6.0,3.8,South
78,35,Downtown,63101,1037.5555555555557,1660.4444444444443,620.0,2698.0,3721,53.5,37.1,2.9,0.5,5.4,2.3,Central
